,aed_sqm,source
2019-06,11766.246,BIS
2019-07,11835.6185,BIS
2019-08,11948.97,BIS
2019-09,11628.7165,BIS
2019-10,11579.22,BIS
2019-11,11602.5373,BIS
2019-12,11488.9342,BIS
2020-01,11322.8009,BIS
2020-02,11326.1439,BIS
2020-03,11215.936,BIS
2020-04,11179.5805,BIS
2020-05,11091.6621,BIS
2020-06,10931.9488,BIS
2020-07,10885.0272,BIS
2020-08,10767.7172,BIS
2020-09,10741.0615,BIS
2020-10,10716.1365,BIS
2020-11,10704.2303,BIS
2020-12,10749.4759,BIS
2021-01,10843.6021,BIS
2021-02,10803.9508,BIS
2021-03,10826.0252,BIS
2021-04,10923.43,BIS
2021-05,10997.9011,BIS
2021-06,11165.4547,BIS
2021-07,11296.4017,BIS
2021-08,11517.549,BIS
2021-09,11579.2015,BIS
2021-10,11701.3156,BIS
2021-11,11750.6152,BIS
2021-12,11802.4762,BIS
2022-01,12045.9626,BIS
2022-02,12001.9332,BIS
2022-03,12122.0409,BIS
2022-04,12089.6725,BIS
2022-05,12196.8468,BIS
2022-06,12399.4349,BIS
2022-07,12399.4349,BIS
2022-08,12400.3328,BIS
2022-09,12621.1,BIS
2022-10,12804.84,BIS
2022-11,12904.77,BIS
2022-12,12931.24,BIS
2023-01,13461.15,BIS
2023-02,13492.58,BIS
2023-03,13814.9,BIS
2023-04,14057.79,BIS
2023-05,14304.02,BIS
2023-06,14390.33,BIS
2023-07,14797.27,BIS
2023-08,15015.61,BIS
2023-09,15088.67,BIS
2023-10,15196.63,BIS
2023-11,15322.0156,BIS
2023-12,15691.7852,BIS
2024-01,15924.9445,BIS
2024-02,16385.6,BIS
2024-03,16725.18,BIS
2024-04,16973.1937,BIS
2024-05,17320.72641429592,VPI-spliced
2024-06,17675.37499550769,VPI-spliced
2024-07,18037.28514376618,VPI-spliced
2024-08,18406.6055424689,VPI-spliced
2024-09,18783.487919363506,VPI-spliced
2024-10,19168.08710888204,VPI-spliced
2024-11,19560.56111575151,VPI-spliced
2024-12,19961.07117990687,VPI-spliced
2025-01,20388.46644680145,VPI-spliced
2025-02,20825.01286157371,VPI-spliced
2025-03,21132.086260686716,VPI-spliced
2025-04,21443.687583651175,VPI-spliced
2025-05,21759.883596570766,VPI-spliced
2025-06,22080.74205004292,VPI-spliced
2025-07,22382.11705527555,VPI-spliced
2025-08,22679.50214614304,VPI-spliced
2025-09,22980.8385116845,VPI-spliced
2025-10,23286.178651409933,VPI-spliced
2025-11,23595.575762375982,VPI-spliced
2025-12,23909.083748454137,VPI-spliced
2026-01,24178.79993139092,VPI-spliced
2026-02,24451.558757872845,VPI-spliced
2026-03,23008.916791158346,VPI-spliced
2026-04,22571.747372126338,VPI-spliced
2026-05,22300.88640366082,VPI-spliced
2026-06,22077.877539624213,VPI-spliced
2026-07,22011.64390700534,VPI-spliced
